ORISPL,NAMEPCAP,GENNTAN,weighted_coal_CAPFAC,weighted_coal_AGE,coal_FUELS,num_coal_GENS,YEAR,NONcoal_FUELS,PNAME,PLGENACL,PLSO2AN,PLPRMFL,PLCLPR,SECTOR,FIPSST,FIPSCNTY,LAT,LON
3.0,1770.7,8041980.0,0.5648572728233594,43.239057999661554,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT']",5,2009,"['NG', 'NG']",Barry,7947703.984,37109.314,BIT,56.4191,not reported,1,97.0,31.0069,-88.0103
7.0,138.0,263330.0,0.2990987688451753,60.0,"['BIT', 'BIT']",2,2009,0,Gadsden,218328.65,2631.8127,BIT,82.9107,not reported,1,55.0,34.0128,-85.9708
8.0,1416.7,5207454.0,0.5016030941991999,44.61671490082608,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT']",5,2009,0,Gorgas,5198072.952,5027.653,BIT,99.8199,not reported,1,127.0,33.6446,-87.2003
10.0,568.4,2364684.0,0.5052824192999994,43.52638986629131,"['BIT', 'BIT']",2,2009,0,Greene County,2349928.164,31604.482,BIT,94.3169,not reported,1,63.0,32.6017,-87.7811
26.0,2012.8,8033064.0,0.48242504932115565,42.0,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT']",5,2009,['DFO'],E C Gaston,8014846.764,102980.7995,BIT,99.7645,not reported,1,117.0,33.2442,-86.4567
47.0,1350.0,2939031.0,0.2616998574019805,49.92592592592587,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT']",5,2009,0,Colbert,2917660.183,16524.592,BIT,99.2333,not reported,1,33.0,34.7439,-87.8486
50.0,1968.6,4688202.0,0.3628649965594486,50.3820989535709,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT']",8,2009,0,Widows Creek,4677183.31,12861.358,BIT,99.765,not reported,1,71.0,34.8825,-85.7547
51.0,720.7,4465132.0,0.7073,22.999999999999773,['LIG'],1,2009,0,Dolet Hills,4451843.365,11720.507,LIG,99.7024,not reported,22,31.0,32.0306,-93.5692
56.0,538.0,3026254.0,0.659139609233065,31.226765799256555,"['BIT', 'BIT', 'BIT']",3,2009,0,Charles R Lowman,3014524.997,5644.99,BIT,99.6124,not reported,1,129.0,31.4858,-87.9106
59.0,109.8,591667.0,0.6151,27.0,['SUB'],1,2009,0,Platte,591667.0,2679.396,SUB,100.0,not reported,31,79.0,40.8538,-98.3481
